Date,Open,High,Low,Close,Adj Close,Volume
2021-05-20,29.190001,30.062500,29.030001,29.827499,29.332754,20151600
2021-05-21,29.827499,29.920000,29.207500,29.655001,29.163118,11086400
2021-05-24,29.777500,30.882500,29.740000,30.642500,30.134235,19749600
2021-05-25,30.797501,31.402500,30.450001,30.452499,29.947388,18743600
2021-05-26,30.250000,31.200001,30.174999,30.250000,29.748247,24307600
2021-05-27,30.469999,31.045000,30.287500,30.674999,30.166197,15636800
2021-05-28,30.872499,30.985001,30.332500,30.735001,30.225204,10524000
2021-05-31,31.250000,31.442499,30.812500,31.012501,30.498100,13231200
2021-06-01,31.447500,31.447500,29.902500,30.500000,29.994101,17543600
2021-06-02,30.549999,30.844999,30.000000,30.325001,29.822002,15822800
2021-06-04,30.125000,30.715000,30.049999,30.562500,30.055565,12745600
2021-06-07,30.417500,30.697500,29.799999,30.372499,29.868713,12547200
2021-06-08,30.610001,30.905001,30.139999,30.875000,30.362881,18486800
2021-06-09,30.900000,30.924999,30.092501,30.365000,29.861340,15836000
2021-06-10,30.495001,30.629999,30.037500,30.202499,29.701534,11153200
2021-06-11,30.200001,30.237499,29.225000,29.570000,29.079525,12352400
2021-06-14,29.587500,29.862499,29.379999,29.615000,29.123779,11794000
2021-06-15,29.715000,30.722500,29.525000,30.507500,30.001474,15917600
2021-06-16,30.507500,31.000000,30.250000,30.612499,30.104734,21526000
2021-06-17,30.605000,30.879999,30.200001,30.577499,30.070316,9399600
2021-06-18,30.402500,30.747499,30.312500,30.537500,30.030979,7946800
2021-06-21,30.642500,30.745001,30.207500,30.745001,30.235039,9664000
2021-06-22,30.735001,30.735001,29.825001,30.232500,29.731037,13732000
2021-06-23,30.195000,30.467501,30.037500,30.302500,29.799875,8837200
2021-06-24,30.475000,30.680000,30.057501,30.100000,29.600735,9624000
2021-06-25,29.975000,30.222500,29.332500,29.567499,29.077066,11456000
2021-06-28,29.872499,30.797501,29.752501,30.490000,29.984266,18452400
2021-06-29,30.575001,30.674999,30.000000,30.674999,30.166197,8230800
2021-06-30,30.625000,30.625000,30.105000,30.514999,30.008852,46547200
2021-07-01,30.490000,31.150000,29.700001,30.090000,29.590902,9616900
2021-07-02,30.500000,31.799999,30.320000,31.459999,30.938177,13466300
2021-07-05,31.719999,31.959999,31.100000,31.410000,30.889006,6827100
2021-07-06,31.360001,31.670000,30.430000,30.719999,30.210451,6344000
2021-07-07,31.090000,31.200001,30.320000,30.969999,30.456303,10997100
2021-07-08,30.320000,30.600000,29.450001,30.430000,29.925262,9935900
2021-07-12,30.790001,30.950001,30.330000,30.709999,30.200615,5903000
2021-07-13,30.600000,31.350000,30.250000,31.150000,30.633318,5963400
2021-07-14,31.510000,31.900000,31.299999,31.690001,31.164362,8635400
2021-07-15,31.690001,32.450001,31.469999,32.189999,31.656067,11500000
2021-07-16,32.200001,32.200001,31.520000,31.680000,31.154528,6575600
2021-07-19,31.110001,31.480000,30.629999,31.160000,30.643152,10286900
2021-07-20,31.240000,31.680000,30.870001,31.600000,31.075855,3843700
2021-07-21,31.600000,31.930000,31.320000,31.850000,31.321711,3619100
2021-07-22,31.610001,31.959999,31.500000,31.660000,31.134859,3671700
2021-07-23,31.790001,32.029999,31.410000,31.680000,31.154528,4046600
2021-07-26,31.700001,32.730000,31.520000,32.270000,31.734743,8295000
2021-07-27,32.209999,32.209999,31.139999,31.670000,31.144693,10174700
2021-07-28,31.870001,31.969999,30.780001,31.020000,30.505474,9136600
2021-07-29,31.150000,31.500000,30.309999,30.650000,30.141611,13759300
2021-07-30,30.290001,30.920000,28.799999,29.150000,28.666491,16747000
2021-08-02,29.900000,30.320000,29.160000,29.540001,29.050024,14655600
2021-08-03,29.549999,30.129999,28.360001,30.000000,29.502394,14106800
2021-08-04,29.900000,30.059999,29.400000,29.820000,29.325378,8701600
2021-08-05,30.000000,30.480000,29.340000,29.719999,29.227037,10883200
2021-08-06,29.820000,30.219999,29.120001,30.070000,29.741259,7906300
2021-08-09,30.180000,31.770000,29.980000,31.299999,30.957811,15961800
2021-08-10,32.250000,32.650002,30.860001,31.090000,30.750107,19797700
2021-08-11,31.400000,31.500000,30.080000,30.350000,30.018198,12762700
2021-08-12,30.200001,30.459999,29.350000,29.469999,29.147818,17929700
2021-08-13,29.730000,29.780001,28.580000,29.690001,29.365414,20168000
2021-08-16,29.580000,29.600000,28.049999,28.219999,27.911484,17327000
2021-08-17,28.230000,28.430000,26.730000,28.030001,27.723562,26222100
2021-08-18,28.110001,28.530001,27.299999,27.500000,27.199356,19078100
2021-08-19,27.000000,28.629999,26.920000,28.389999,28.079626,15120400
2021-08-20,28.190001,28.700001,27.700001,28.330000,28.020281,9256600
2021-08-23,28.490000,28.790001,27.719999,27.969999,27.664217,9052700
2021-08-24,28.299999,29.190001,28.299999,28.660000,28.346674,13065500
2021-08-25,28.670000,28.799999,27.790001,28.760000,28.445580,14538900
2021-08-26,28.629999,29.200001,27.879999,28.030001,27.723562,13035000
2021-08-27,28.400000,29.209999,28.230000,29.209999,28.890661,6838500
2021-08-30,29.270000,29.320000,28.580000,28.740000,28.425800,7999900
2021-08-31,28.750000,29.389999,28.139999,28.430000,28.119188,11702200
2021-09-01,28.360001,28.490000,27.700001,27.969999,27.664217,11119500
2021-09-02,27.969999,28.170000,27.320000,27.629999,27.327932,10825300
2021-09-03,27.790001,28.049999,26.860001,27.480000,27.179573,11471400
2021-09-06,27.250000,28.219999,27.250000,27.940001,27.634544,5798100
2021-09-08,27.889999,27.889999,26.400000,26.580000,26.289413,12824400
2021-09-09,26.510000,28.320000,26.450001,27.600000,27.298262,14652700
2021-09-10,28.180000,28.290001,26.750000,26.930000,26.635586,9621300
2021-09-13,27.150000,28.070000,27.150000,27.559999,27.258699,11983500
2021-09-14,27.750000,28.240000,27.469999,27.629999,27.327932,5975200
2021-09-15,27.480000,27.850000,26.809999,27.500000,27.199356,8380200
2021-09-16,27.160000,27.480000,27.020000,27.340000,27.041105,7521000
2021-09-17,27.049999,27.299999,26.520000,26.799999,26.507008,6384700
2021-09-20,25.600000,26.080000,25.290001,25.770000,25.488268,13515600
2021-09-21,25.850000,26.580000,25.799999,26.240000,25.953131,8310800
2021-09-22,26.670000,27.740000,26.370001,27.240000,26.942198,11180600
2021-09-23,27.200001,27.570000,26.820000,27.020000,26.724604,8480300
2021-09-24,26.860001,26.910000,26.219999,26.770000,26.477337,9170000
2021-09-27,26.780001,27.230000,26.400000,26.830000,26.536680,7141800
2021-09-28,26.400000,26.580000,25.309999,25.639999,25.359690,9756900
2021-09-29,25.889999,26.170000,25.549999,25.920000,25.636627,9032000
2021-09-30,26.000000,26.129999,24.910000,25.000000,24.726686,12621200
2021-10-01,25.190001,26.330000,25.190001,26.020000,25.735537,11128500
