Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
OCORRÊNCIAS DE PORTE DE ENTORPECENTES;1.450;1.331;956;746;912;1.093;1.245;1.376;1.330;1.071;1.002;1.164;13.676
OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES;3.306;3.204;2.957;3.410;3.891;4.002;4.126;3.773;3.411;3.401;3.170;2.909;41.560
OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1);347;322;314;314;389;421;459;428;453;413;358;384;4.602
OCORRÊNCIAS DE PORTE ILEGAL DE ARMA;371;349;363;307;435;394;376;386;409;399;346;306;4.441
Nº DE ARMAS DE FOGO APREENDIDAS;1.012;1.004;986;903;1.089;900;969;925;992;996;913;864;11.553
Nº DE FLAGRANTES LAVRADOS;7.708;7.865;7.577;6.984;7.009;7.232;7.596;7.223;7.223;7.621;7.093;6.994;88.125
Nº DE INFRATORES APREENDIDOS EM FLAGRANTE;1.019;981;932;858;838;945;1.045;1.069;894;924;876;796;11.177
Nº DE INFRATORES APREENDIDOS POR MANDADO;232;263;176;59;89;125;183;163;162;174;168;117;1.911
Nº DE PESSOAS PRESAS EM FLAGRANTE;8.965;9.144;9.032;8.545;8.490;8.496;8.962;8.430;8.526;9.000;8.315;8.176;104.081
Nº DE PESSOAS PRESAS POR MANDADO;6.346;6.184;4.886;3.377;3.388;4.431;4.904;4.269;4.815;4.791;3.491;4.130;55.012
Nº DE PRISÕES EFETUADAS;13.442;13.304;12.036;10.080;10.257;11.059;12.089;11.052;11.540;11.830;10.121;10.745;137.555
Nº DE VEÍCULOS RECUPERADOS;4.770;4.247;3.858;2.763;2.435;2.571;3.037;2.864;3.097;3.058;3.118;3.281;39.099
TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS;29.817;27.065;26.832;24.657;24.389;26.520;29.052;27.016;27.657;28.102;28.075;27.177;326.359
